spu_id	spu_name	Class
SPU_000049	Sp-TrypL	Metabolism
SPU_000061	Sp-Btub2	"Cytoskeleton,Nervous"
SPU_000125	none	NONE
SPU_000128	Sp-Tropmy1	Cytoskeleton
SPU_000152	none	NONE
SPU_000164	Sp-Clect	NONE
SPU_000204	Sp-Thsd4_1	NONE
SPU_000229	Sp-CopineC	NONE
SPU_000241	Sp-Tal1ph	Cytoskeleton
SPU_000241	Sp-Tal1ph	Cytoskeleton
SPU_000281	Sp-Cat	"Defensome,Metabolism"
SPU_000296	Sp-Gelslnph	Cytoskeleton
SPU_000308	Sp-Rhogap24l2	GTPase
SPU_000310	Sp-Pdgfr/vegfrL	"CalciumToolkit,Immunity,Kinase,Signaling"
SPU_000346	Sp-Clect/Fn3_17	NONE
SPU_000346	Sp-Clect/Fn3_17	NONE
SPU_000353	Sp-Hypp_299	NONE
SPU_000377	Sp-Prss12L	Metabolism
SPU_000379	Sp-Rpl23a	NONE
SPU_000434	none	NONE
SPU_000437	Sp-Z211	ZNF
SPU_000438	Sp-p58-b	NONE
SPU_000439	Sp-p58-a	NONE
SPU_000453	Sp-Igf_17	Adhesion
SPU_000468	Sp-Plk2	"CellCycle,EggActivation,Kinase"
SPU_000469	Sp-Igcamr	NONE
SPU_000475	none	NONE
SPU_000503	Sp-Rab11	GTPase
SPU_000513	Sp-Do1(Udx1)	"EggActivation,Oogenesis"
SPU_000523	Sp-Nlr148	Immunity
SPU_000552	Sp-Arf1	GTPase
SPU_000579	none	NONE
SPU_000595	Sp-Ef1a	"GTPase,TranslationFactor"
SPU_000619	Sp-ApdpL	Metalloprotease
SPU_000630	Sp-Fam20c	NONE
SPU_000638	Sp-Zfand2b	NONE
SPU_000651	Sp-Taui1ph2	NONE
SPU_000680	Sp-Adam/Ts6/10L1	Metalloprotease
SPU_000680	Sp-Adam/Ts6/10L1	Metalloprotease
SPU_000736	Sp-Fn3_11	NONE
SPU_000736	Sp-Fn3_11	NONE
SPU_000750	none	NONE
SPU_000752	Sp-Hypp_313	NONE
SPU_000811	Sp-Rab3	GTPase
SPU_000825	Sp-Sm30A	Biomineralization
SPU_000826	Sp-Sm30b	Biomineralization
SPU_000827	Sp-Sm30C	Biomineralization
SPU_000828	Sp-Sm30D	Biomineralization
SPU_000832	Sp-MyV	NONE
SPU_000832	Sp-MyV	Cytoskeleton
SPU_000881	Sp-Mvp	NONE
SPU_000884	Sp-Ttrspn	NONE
SPU_000908	Sp-Ank2h	NONE
SPU_000908	Sp-Ank2h	NONE
SPU_000908	Sp-Ank2h	NONE
SPU_000958	Sp-Col4a2f	Adhesion
SPU_000972	Sp-Lhh2bc	Histone
SPU_000983	Sp-Adamtsl1	NONE
SPU_000991	Sp-AnthrtrL	NONE
SPU_001008	Sp-Ssx2ipL	NONE
SPU_001084	Sp-Exoc4_1	Nervous
SPU_001113	Sp-Sna	"TF,ZNF"
SPU_001129	Sp-Lrr/Igr_10	NONE
SPU_001236	none	NONE
SPU_001282	Sp-HemiL	"Adhesion,Adhesion"
SPU_001288	Sp-Rab31	GTPase
SPU_001312	Sp-ClvhH2b	Histone
SPU_001366	Sp-Arp1/Centph	Cytoskeleton
SPU_001396	Sp-Jip3_2	NONE
SPU_001426	Sp-Syne1L_3	NONE
SPU_001489	Sp-CalcneurL_2	"CalciumToolkit,Metabolism"
SPU_001550	Sp-Ulk3_1	Kinase
SPU_001585	Sp-Pdrps3a	NONE
SPU_001638	Sp-ThrombA1	Adhesion
SPU_001657	Sp-Cebpa	"Immunity,TF"
SPU_001669	Sp-Slc4a11	NONE
SPU_001670	none	NONE
SPU_001700	Sp-Aldh1	"Defensome,Metabolism,Metabolism"
SPU_001725	Sp-Lhh4c	Histone
SPU_001727	Sp-Srcr18	Immunity
SPU_001796	Sp-Frem2	NONE
SPU_001796	Sp-Frem2	NONE
SPU_001874	Sp-Advph	NONE
SPU_001888	Sp-Ccp_1	NONE
SPU_001892	Sp-Sema6d	Adhesion
SPU_001929	Sp-Exostl	NONE
SPU_001995	none	"CalciumToolkit,EggActivation,Kinase"
SPU_002088	Sp-Msp130	Biomineralization
SPU_002117	Sp-LshmanlsnL	Metalloprotease
SPU_002117	Sp-LshmanlsnL	Metalloprotease
SPU_002148	Sp-Dnajb1	NONE
SPU_002188	Sp-Hypp_1377	NONE
SPU_002219	Sp-Nefl	NONE
SPU_002273	Sp-Aji_1	Adhesion
SPU_002291	Sp-Mtmr14	NONE
SPU_002316	Sp-Rab10l	GTPase
SPU_002324	Sp-ElavL	NONE
SPU_002352	none	NONE
SPU_002485	none	Nervous
SPU_002544	Sp-Trpm3_2	"CalciumToolkit,EggActivation"
SPU_002549	Sp-MacpfB.0	Immunity
SPU_002588	Sp-Cenpj	NONE
SPU_002603	Sp-SoxC	"Immunity,Nervous,TF"
SPU_002611	none	"Cytoskeleton,Cytoskeleton"
SPU_002640	Sp-Evi5	NONE
SPU_002640	Sp-Evi5	NONE
SPU_002714	Sp-PicalmL	NONE
SPU_002731	Sp-Senp6	NONE
SPU_002757	Sp-Lrr/Igr_6	NONE
SPU_002783	Sp-NotchL_1	NONE
SPU_002784	none	NONE
SPU_002788	Sp-Btub1	Cytoskeleton
SPU_002804	Sp-Man2a2_1	NONE
SPU_002809	Sp-Lhh2bj	Histone
SPU_002874	Sp-Ets1/2	"Immunity,TF"
SPU_002928	Sp-Tpte	"EggActivation,Phosphatase"
SPU_002954	Sp-Kif21A	Cytoskeleton
SPU_003044	Sp-Iqsec1	NONE
SPU_003084	Sp-Gpc1246_1	"Adhesion,Signaling"
SPU_003102	Sp-Jun	"Immunity,Signaling,TF"
SPU_003161	none	NONE
SPU_003162	Sp-Arf1l2	GTPase
SPU_003181	Sp-Plekha1	NONE
SPU_003194	Sp-Sim_wsk_ald_syn_ph	"Cytoskeleton,Immunity"
SPU_003217	none	NONE
SPU_003281	Sp-Apaf1L	Apoptosis
SPU_003345	Sp-Dkk1	NONE
SPU_003374	Sp-Nadsyn1	NONE
SPU_003402	Sp-Sdc	Adhesion
SPU_003495	Sp-Sarmr10	Immunity
SPU_003496	Sp-Arf4/5	GTPase
SPU_003504	none	NONE
SPU_003536	none	NONE
SPU_003540	Sp-Prom1	NONE
SPU_003551	none	NONE
SPU_003555	none	NONE
SPU_003574	none	NONE
SPU_003612	Sp-Astacin1	Metalloprotease
SPU_003680	Sp-Hypp_3092	NONE
SPU_003696	Sp-Sept4	NONE
SPU_003708	none	NONE
SPU_003718	Sp-Rps16	NONE
SPU_003768	Sp-3Apcol	"Adhesion,Biomineralization"
SPU_003768	Sp-3Apcol	"Adhesion,Biomineralization"
SPU_003825	Sp-14-3-3e	NONE
SPU_003914	Sp-Plscr1	Immunity
SPU_003918	Sp-Lrp8	NONE
SPU_003924	none	NONE
SPU_003977	Sp-Glud1_2	NONE
SPU_004005	Sp-Adap1L	NONE
SPU_004038	Sp-BetaLi_1	Adhesion
