gene_id,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
AlixG046585,SPU_015966,2.74e-294,822.0,"COG1972@1|root,KOG3747@2759|Eukaryota,38CC4@33154|Opisthokonta,3BEAF@33208|Metazoa,3CZWK@33213|Bilateria",33208|Metazoa,FP,nucleoside:sodium symporter activity,SLC28A3,"GO:0001894,GO:0001895,GO:0003674,GO:0005215,GO:0005337,GO:0005345,GO:0005350,GO:0005415,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0005887,GO:0006139,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006863,GO:0008104,GO:0008150,GO:0008152,GO:0008324,GO:0009987,GO:0012505,GO:0015075,GO:0015077,GO:0015081,GO:0015205,GO:0015211,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015389,GO:0015390,GO:0015391,GO:0015672,GO:0015851,GO:0015855,GO:0015858,GO:0015860,GO:0015864,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0016324,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0031984,GO:0032501,GO:0033036,GO:0034220,GO:0034394,GO:0034613,GO:0034641,GO:0035725,GO:0042175,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045177,GO:0046483,GO:0046873,GO:0048871,GO:0051179,GO:0051234,GO:0051641,GO:0055085,GO:0060249,GO:0065007,GO:0065008,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072530,GO:0072531,GO:0098590,GO:0098655,GO:0098660,GO:0098662,GO:0098827,GO:1901264,GO:1901360,GO:1901505,GO:1901642,GO:1904823",-,ko:K11536,-,-,-,-,"ko00000,ko02000",2.A.41.2,-,-,"Gate,Nucleos_tra2_C,Nucleos_tra2_N"
AlixG040261,SPU_016539,1.71e-183,552.0,"KOG1075@1|root,KOG1075@2759|Eukaryota,39N4Q@33154|Opisthokonta,3BPSU@33208|Metazoa,3E41R@33213|Bilateria",33208|Metazoa,IQ,Reverse transcriptase (RNA-dependent DNA polymerase),-,-,-,-,-,-,-,-,-,-,-,-,"Exo_endo_phos_2,RVT_1"
AlixG040263,SPU_007283,9.52e-211,593.0,"COG1012@1|root,KOG2450@2759|Eukaryota,38CDB@33154|Opisthokonta,3BCJG@33208|Metazoa,3CU6J@33213|Bilateria",33208|Metazoa,C,aldehyde dehydrogenase (NAD) activity,ALDH2,"GO:0000166,GO:0001101,GO:0001889,GO:0002237,GO:0003674,GO:0003824,GO:0004029,GO:0004030,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005975,GO:0006066,GO:0006067,GO:0006069,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006117,GO:0006950,GO:0007275,GO:0008150,GO:0008152,GO:0008774,GO:0009055,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009636,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010941,GO:0014070,GO:0016491,GO:0016620,GO:0016903,GO:0016999,GO:0017144,GO:0019752,GO:0022900,GO:0031974,GO:0031981,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032570,GO:0032787,GO:0032870,GO:0033574,GO:0033993,GO:0034308,GO:0035094,GO:0036094,GO:0036296,GO:0042221,GO:0042493,GO:0042802,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045471,GO:0046677,GO:0048037,GO:0048513,GO:0048519,GO:0048523,GO:0048545,GO:0048731,GO:0048732,GO:0048856,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051287,GO:0051704,GO:0051707,GO:0051716,GO:0055093,GO:0055114,GO:0060548,GO:0061008,GO:0065007,GO:0070013,GO:0070404,GO:0070482,GO:0070542,GO:0070887,GO:0071229,GO:0071310,GO:0071396,GO:0071398,GO:0071495,GO:0071704,GO:0097159,GO:0097305,GO:1901214,GO:1901215,GO:1901265,GO:1901363,GO:1901615,GO:1901654,GO:1901700,GO:1901701","1.2.1.3,1.2.1.36","ko:K00128,ko:K07249","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00830,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00830,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02123,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146,R08385","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
AlixG040264,SPU_015788,4.98e-51,191.0,"KOG2756@1|root,KOG3656@1|root,KOG2756@2759|Eukaryota,KOG3656@2759|Eukaryota,39RV8@33154|Opisthokonta,3BDKA@33208|Metazoa,3CYVS@33213|Bilateria",33208|Metazoa,T,5'-tyrosyl-DNA phosphodiesterase activity,TDP2,"GO:0000287,GO:0002009,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003712,GO:0003714,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007368,GO:0007369,GO:0007389,GO:0007399,GO:0008081,GO:0008150,GO:0008152,GO:0009653,GO:0009790,GO:0009799,GO:0009855,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010556,GO:0010558,GO:0010605,GO:0010646,GO:0010648,GO:0016234,GO:0016235,GO:0016604,GO:0016605,GO:0016787,GO:0016788,GO:0017015,GO:0019219,GO:0019222,GO:0022008,GO:0023051,GO:0023052,GO:0023057,GO:0030145,GO:0030154,GO:0030182,GO:0030512,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0033554,GO:0034641,GO:0036317,GO:0042578,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045934,GO:0046483,GO:0046872,GO:0046914,GO:0048468,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048598,GO:0048666,GO:0048699,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0060026,GO:0060027,GO:0060255,GO:0060429,GO:0065007,GO:0070013,GO:0070259,GO:0070260,GO:0071704,GO:0080090,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:0140098,GO:0140110,GO:1901360,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1903844,GO:1903845,GO:2001141",-,ko:K19619,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"Exo_endo_phos,UBA_4"
AlixG040265,SPU_015788,1.09e-52,195.0,"KOG2756@1|root,KOG3656@1|root,KOG2756@2759|Eukaryota,KOG3656@2759|Eukaryota,39RV8@33154|Opisthokonta,3BDKA@33208|Metazoa,3CYVS@33213|Bilateria",33208|Metazoa,T,5'-tyrosyl-DNA phosphodiesterase activity,TDP2,"GO:0000287,GO:0002009,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003712,GO:0003714,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007368,GO:0007369,GO:0007389,GO:0007399,GO:0008081,GO:0008150,GO:0008152,GO:0009653,GO:0009790,GO:0009799,GO:0009855,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010556,GO:0010558,GO:0010605,GO:0010646,GO:0010648,GO:0016234,GO:0016235,GO:0016604,GO:0016605,GO:0016787,GO:0016788,GO:0017015,GO:0019219,GO:0019222,GO:0022008,GO:0023051,GO:0023052,GO:0023057,GO:0030145,GO:0030154,GO:0030182,GO:0030512,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0033554,GO:0034641,GO:0036317,GO:0042578,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045934,GO:0046483,GO:0046872,GO:0046914,GO:0048468,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048598,GO:0048666,GO:0048699,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0060026,GO:0060027,GO:0060255,GO:0060429,GO:0065007,GO:0070013,GO:0070259,GO:0070260,GO:0071704,GO:0080090,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:0140098,GO:0140110,GO:1901360,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1903844,GO:1903845,GO:2001141",-,ko:K19619,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"Exo_endo_phos,UBA_4"
AlixG040266,SPU_007284,1.06e-250,701.0,"COG1012@1|root,KOG2450@2759|Eukaryota,38CDB@33154|Opisthokonta,3BCJG@33208|Metazoa,3CU6J@33213|Bilateria",33208|Metazoa,C,aldehyde dehydrogenase (NAD) activity,ALDH2,"GO:0000166,GO:0001101,GO:0001889,GO:0002237,GO:0003674,GO:0003824,GO:0004029,GO:0004030,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005975,GO:0006066,GO:0006067,GO:0006069,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006117,GO:0006950,GO:0007275,GO:0008150,GO:0008152,GO:0008774,GO:0009055,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009636,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010941,GO:0014070,GO:0016491,GO:0016620,GO:0016903,GO:0016999,GO:0017144,GO:0019752,GO:0022900,GO:0031974,GO:0031981,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032570,GO:0032787,GO:0032870,GO:0033574,GO:0033993,GO:0034308,GO:0035094,GO:0036094,GO:0036296,GO:0042221,GO:0042493,GO:0042802,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045471,GO:0046677,GO:0048037,GO:0048513,GO:0048519,GO:0048523,GO:0048545,GO:0048731,GO:0048732,GO:0048856,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051287,GO:0051704,GO:0051707,GO:0051716,GO:0055093,GO:0055114,GO:0060548,GO:0061008,GO:0065007,GO:0070013,GO:0070404,GO:0070482,GO:0070542,GO:0070887,GO:0071229,GO:0071310,GO:0071396,GO:0071398,GO:0071495,GO:0071704,GO:0097159,GO:0097305,GO:1901214,GO:1901215,GO:1901265,GO:1901363,GO:1901615,GO:1901654,GO:1901700,GO:1901701","1.2.1.3,1.2.1.36","ko:K00128,ko:K07249","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00830,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00830,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02123,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146,R08385","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
AlixG040271,SPU_014189,3.13e-84,269.0,"COG1073@1|root,2QQ8Z@2759|Eukaryota,38H36@33154|Opisthokonta,3BEH7@33208|Metazoa,3CR64@33213|Bilateria",33208|Metazoa,S,acyl-coenzyme A thioesterase,ACOT4,"GO:0000038,GO:0001505,GO:0001666,GO:0001676,GO:0001889,GO:0002152,GO:0003674,GO:0003824,GO:0004778,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005777,GO:0005782,GO:0005829,GO:0006082,GO:0006104,GO:0006139,GO:0006163,GO:0006520,GO:0006544,GO:0006605,GO:0006625,GO:0006629,GO:0006631,GO:0006637,GO:0006694,GO:0006699,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006810,GO:0006886,GO:0006950,GO:0006996,GO:0007031,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0008202,GO:0008206,GO:0008610,GO:0009056,GO:0009058,GO:0009062,GO:0009069,GO:0009117,GO:0009150,GO:0009259,GO:0009410,GO:0009605,GO:0009628,GO:0009719,GO:0009725,GO:0009987,GO:0009991,GO:0010033,GO:0015031,GO:0015833,GO:0016042,GO:0016043,GO:0016053,GO:0016054,GO:0016289,GO:0016290,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016790,GO:0017144,GO:0019530,GO:0019637,GO:0019693,GO:0019694,GO:0019752,GO:0031099,GO:0031100,GO:0031667,GO:0031907,GO:0031974,GO:0032501,GO:0032502,GO:0032787,GO:0032788,GO:0032789,GO:0033036,GO:0033365,GO:0033865,GO:0033875,GO:0034032,GO:0034613,GO:0034641,GO:0035383,GO:0036293,GO:0042133,GO:0042221,GO:0042493,GO:0042579,GO:0042760,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043574,GO:0043603,GO:0043648,GO:0043649,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046394,GO:0046395,GO:0046459,GO:0046483,GO:0046907,GO:0047617,GO:0047963,GO:0048513,GO:0048731,GO:0048732,GO:0048856,GO:0050896,GO:0051179,GO:0051186,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0052815,GO:0052816,GO:0052817,GO:0055086,GO:0061008,GO:0065007,GO:0065008,GO:0070013,GO:0070482,GO:0070727,GO:0070848,GO:0070849,GO:0070887,GO:0071466,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072329,GO:0072330,GO:0072521,GO:0072594,GO:0072662,GO:0072663,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901575,GO:1901576,GO:1901605,GO:1901615,GO:1901617","2.3.1.65,3.1.2.2","ko:K00659,ko:K01068,ko:K11993","ko00062,ko00120,ko00430,ko01040,ko01100,ko01110,ko04146,ko04976,map00062,map00120,map00430,map01040,map01100,map01110,map04146,map04976",M00106,"R01274,R03718,R03720,R08174,R08175,R08176,R08177,R08178,R08179,R08180,R08181,R08182,R08183,R08744,R08745,R09450","RC00004,RC00014,RC00096,RC02867","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,"BAAT_C,Bile_Hydr_Trans"
AlixG040273,SPU_009226,2.45e-139,408.0,"KOG3128@1|root,KOG3128@2759|Eukaryota,39AX7@33154|Opisthokonta,3BGKK@33208|Metazoa,3CYGM@33213|Bilateria",33208|Metazoa,S,5'-nucleotidase activity,NT5C3B,"GO:0000215,GO:0000287,GO:0000288,GO:0000291,GO:0000956,GO:0002252,GO:0002376,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005829,GO:0006139,GO:0006152,GO:0006213,GO:0006401,GO:0006402,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0008252,GO:0008253,GO:0009056,GO:0009057,GO:0009058,GO:0009116,GO:0009119,GO:0009123,GO:0009125,GO:0009158,GO:0009161,GO:0009164,GO:0009605,GO:0009607,GO:0009615,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0016070,GO:0016071,GO:0016311,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016788,GO:0016791,GO:0017144,GO:0018130,GO:0019222,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034656,GO:0042278,GO:0042454,GO:0042578,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043928,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046085,GO:0046128,GO:0046130,GO:0046135,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0048519,GO:0050789,GO:0050896,GO:0051607,GO:0051704,GO:0051707,GO:0055086,GO:0060255,GO:0065007,GO:0071704,GO:0072521,GO:0072523,GO:0072527,GO:0072529,GO:0090304,GO:0098542,GO:0140098,GO:0140101,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658",3.1.3.5,ko:K01081,"ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110",-,"R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346",RC00017,"ko00000,ko00001,ko01000",-,-,-,UMPH-1
AlixG040274,SPU_009229,4.08e-170,484.0,"2DR9S@1|root,2S6DP@2759|Eukaryota,38CG6@33154|Opisthokonta,3BJRQ@33208|Metazoa,3D0YA@33213|Bilateria",33208|Metazoa,S,Chromosome 7 open reading frame 57,C7orf57,-,-,-,-,-,-,-,-,-,-,-,-
AlixG040275,SPU_009227,4.41e-87,271.0,"KOG2793@1|root,KOG2793@2759|Eukaryota,39SCC@33154|Opisthokonta,3BIGX@33208|Metazoa,3CU7F@33213|Bilateria",33208|Metazoa,A,Methyltransferase,METTL21A,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009987,GO:0016278,GO:0016279,GO:0016740,GO:0016741,GO:0018022,GO:0018193,GO:0018205,GO:0019538,GO:0019899,GO:0030544,GO:0031072,GO:0031974,GO:0031981,GO:0032259,GO:0032991,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0051117,GO:0070013,GO:0071704,GO:0140096,GO:1901564",-,"ko:K21804,ko:K21805",-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,Methyltransf_16
